,id,lot_frontage,lot_area,overall_qual,overall_cond,year_built,year_remod/add,mas_vnr_area,bsmtfin_sf_1,bsmtfin_sf_2,bsmt_unf_sf,total_bsmt_sf,1st_flr_sf,2nd_flr_sf,low_qual_fin_sf,gr_liv_area,bsmt_full_bath,bsmt_half_bath,full_bath,half_bath,bedroom_abvgr,kitchen_abvgr,totrms_abvgrd,fireplaces,garage_cars,garage_area,wood_deck_sf,open_porch_sf,enclosed_porch,3ssn_porch,screen_porch,pool_area,misc_val,mo_sold,yr_sold,total_sf,total_bth,total_bth/sf,total_bed/sf,sale_code,neighborhood,nbhd_rank,nbhd_rank_idx,nbhd_rank_idx_1,nbhd_rank_idx_2,nbhd_rank_idx_3,nbhd_rank_idx_4,nbhd_rank_idx_5,nbhd_rank_idx_6,zone_code,A/C_Y,pvddrv_Y,ex_kitch,is_flat,func_typ,ex_ext,zoning,zne_I (all),zne_R,cond1_A,cond1_N,cond2_A,cond2_N,PosA,PosN,pos_a/n,has_pool,good_pool,sale_high,good_roof,2story,feats,good_bsmt,good_fire,good_grg,is_new,is_new_1,old_val,is_new_rem,is_new_rem_1,old_rem,ext_code,bsmt_code,fire_code,grg_code,pool_code,ktch_code,log_qual,estimates
10,2482,50.0,7175,6,5,1991,1991,0.0,278.0,0.0,939.0,1217.0,1217,0,0,1217,0.0,0.0,2,0,2,1,5,0,2.0,484.0,0,64,0,0,0,0,0,6,2006,2434.0,2.0,0.0008216926869350862,0.0008216926869350862,4,SawyerW,14,3,0,0,1,0,0,0,1,1,1,0,1,1,0,R,0,1,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,1,1,1,0,0,1991,0,0,1991,2,2,0,2,0,4,1.791759469228055,163908.05746803083
11,1364,60.0,7200,6,7,1925,1992,0.0,0.0,0.0,1040.0,1040.0,1040,0,0,1040,0.0,0.0,1,0,2,1,5,0,2.0,320.0,0,132,0,0,0,0,0,7,2008,2080.0,1.0,0.0004807692307692308,0.0009615384615384616,4,IDOTRR,26,6,0,0,0,0,0,1,3,1,1,0,1,1,0,R,0,1,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1925,2,2,0,2,0,2,1.791759469228055,113660.99261143169
12,2584,75.0,11310,6,5,1954,1954,0.0,0.0,0.0,1367.0,1367.0,1375,0,0,1375,0.0,0.0,1,0,2,1,5,1,2.0,451.0,0,30,0,0,0,0,0,6,2006,2742.0,1.0,0.00036469730123997083,0.0007293946024799417,4,NAmes,16,5,0,0,0,0,1,0,1,1,1,0,1,1,0,R,0,1,0,0,0,0,0.0,0.0,0.0,0,0,0,1,0,0,1,1,1,0,0,1954,0,0,1954,2,2,2,2,0,2,1.791759469228055,150493.86234865847
13,818,0.0,7976,7,5,2000,2000,23.0,820.0,0.0,348.0,1168.0,1168,1619,0,2787,2.0,0.0,4,2,6,2,8,2,4.0,820.0,312,0,0,0,0,0,0,10,2009,3955.0,8.0,0.00202275600505689,0.0015170670037926676,4,SawyerW,14,3,0,0,1,0,0,0,1,1,1,0,1,1,0,R,0,1,0,0,0,0,0.0,0.0,0.0,0,0,0,1,1,0,1,1,1,0,0,2000,0,0,2000,2,2,2,2,0,2,1.9459101490553132,290311.77907447226
14,2673,69.0,11737,6,7,1924,1996,0.0,0.0,0.0,848.0,848.0,1017,810,0,1827,0.0,0.0,1,0,2,1,9,1,1.0,240.0,27,36,42,0,0,0,0,5,2006,2675.0,1.0,0.00037383177570093456,0.0007476635514018691,4,BrkSide,23,5,0,0,0,0,1,0,1,0,1,0,0,1,0,R,0,1,0,0,0,0,0.0,0.0,0.0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,1924,2,2,4,2,0,2,1.791759469228055,145927.7573173321
15,2089,60.0,9060,5,6,1957,2006,98.0,0.0,0.0,0.0,0.0,1340,0,0,1340,0.0,0.0,1,0,3,1,7,1,1.0,252.0,116,0,0,180,0,0,0,6,2007,1340.0,1.0,0.0007462686567164179,0.002238805970149254,4,Edwards,22,5,0,0,0,0,1,0,1,1,1,0,1,1,0,R,0,1,0,0,0,0,0.0,0.0,0.0,0,0,0,1,0,0,1,0,1,0,1,0,1,1,0,2,0,4,2,0,2,1.6094379124341003,122377.89737418738
16,1297,60.0,10800,6,6,1940,1950,0.0,590.0,0.0,294.0,884.0,884,552,0,1436,0.0,0.0,2,0,3,2,8,2,2.0,828.0,0,0,126,0,0,0,0,5,2008,2320.0,2.0,0.0008620689655172414,0.001293103448275862,1,OldTown,24,6,0,0,0,0,0,1,3,1,1,0,1,1,0,R,0,1,0,0,0,0,0.0,0.0,0.0,0,0,1,0,1,0,1,0,1,0,0,1940,0,0,1940,2,2,4,2,0,2,1.791759469228055,157693.50771982613
17,790,68.0,9571,5,5,1956,1956,0.0,257.0,0.0,816.0,1073.0,1073,0,0,1073,1.0,0.0,1,0,2,1,5,0,1.0,340.0,0,0,0,0,0,0,0,2,2009,2146.0,2.0,0.0009319664492078285,0.0009319664492078285,4,Edwards,22,5,0,0,0,0,1,0,1,1,1,0,1,1,0,R,0,1,0,0,0,0,0.0,0.0,0.0,0,0,0,1,0,0,1,1,1,0,0,1956,0,0,1956,2,2,0,2,0,2,1.6094379124341003,123865.15586481037
18,2616,80.0,10800,6,6,1961,1992,104.0,913.0,0.0,400.0,1313.0,1773,0,0,1773,1.0,0.0,2,0,3,1,6,2,2.0,418.0,355,98,0,0,144,0,0,8,2006,3086.0,3.0,0.0009721322099805574,0.0009721322099805574,4,NAmes,16,5,0,0,0,0,1,0,1,1,1,0,1,0,0,R,0,1,1,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,1,1,1,0,0,1961,0,0,1961,2,2,2,2,0,2,1.791759469228055,184744.55676939077
19,720,121.0,17671,8,9,1882,1986,0.0,216.0,0.0,700.0,916.0,916,826,0,1742,0.0,0.0,1,1,4,1,8,1,2.0,424.0,0,169,0,0,0,0,0,11,2009,2658.0,2.0,0.0007524454477050414,0.0015048908954100827,4,OldTown,24,6,0,0,0,0,0,1,3,1,0,0,1,1,0,R,0,1,0,0,0,0,0.0,0.0,0.0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,1882,4,2,4,2,0,4,2.0794415416798357,177461.21669944597
20,222,0.0,8246,5,8,1968,2001,0.0,188.0,668.0,204.0,1060.0,1060,0,0,1060,1.0,0.0,1,0,3,1,6,1,1.0,270.0,406,90,0,0,0,0,0,5,2010,2120.0,2.0,0.0009433962264150943,0.0014150943396226414,4,Sawyer,19,5,0,0,0,0,1,0,1,1,1,0,1,1,0,R,0,1,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,1,1,1,0,0,1968,1,1,0,4,2,2,2,0,4,1.6094379124341003,134252.88974425872
21,557,0.0,8499,5,6,1961,1961,0.0,660.0,0.0,204.0,864.0,864,0,0,864,1.0,0.0,1,0,3,1,5,0,2.0,732.0,0,312,0,0,0,0,0,6,2009,1728.0,2.0,0.0011574074074074073,0.001736111111111111,4,Sawyer,19,5,0,0,0,0,1,0,1,1,1,0,1,1,0,R,0,1,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,1,1,1,0,0,1961,0,0,1961,2,2,0,2,0,2,1.6094379124341003,125889.94998005615
22,1148,50.0,8012,6,5,1993,1994,0.0,165.0,841.0,598.0,1604.0,1617,0,0,1617,1.0,0.0,2,0,2,1,5,1,2.0,533.0,0,69,0,0,0,0,0,7,2008,3221.0,3.0,0.0009313877677739833,0.0006209251785159888,4,SawyerW,14,3,0,0,1,0,0,0,1,1,1,0,1,1,0,R,0,1,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1993,2,2,3,2,0,4,1.791759469228055,196745.84659982208
23,2766,0.0,21453,6,5,1969,1969,0.0,938.0,0.0,0.0,938.0,988,0,0,988,1.0,0.0,1,0,1,1,4,2,2.0,540.0,0,130,0,130,0,0,0,10,2006,1926.0,2.0,0.0010384215991692627,0.0005192107995846313,4,ClearCr,7,2,0,1,0,0,0,0,1,1,1,0,0,1,0,R,0,1,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,1,1,1,0,0,1969,0,0,1969,2,2,2,2,0,2,1.791759469228055,161385.23586010543
24,534,80.0,9605,7,6,2007,2007,0.0,0.0,0.0,1218.0,1218.0,1218,0,0,1218,0.0,0.0,1,1,3,1,6,0,2.0,576.0,0,178,0,0,0,0,0,4,2009,2436.0,2.0,0.0008210180623973727,0.0012315270935960591,4,SawyerW,14,3,0,0,1,0,0,0,1,1,1,0,1,1,0,R,0,1,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,1,1,1,1,0,2007,1,1,0,2,2,0,2,0,4,1.9459101490553132,185436.98014545528
25,1452,60.0,7180,5,7,1972,1972,0.0,390.0,0.0,474.0,864.0,864,0,0,864,0.0,0.0,1,0,3,1,5,0,1.0,352.0,0,0,0,0,0,0,0,5,2008,1728.0,1.0,0.0005787037037037037,0.001736111111111111,4,CollgCr,9,3,0,0,1,0,0,0,1,1,1,0,1,1,0,R,0,1,0,0,0,0,0.0,0.0,0.0,0,0,0,1,0,0,1,1,1,0,0,1972,0,0,1972,2,2,0,2,0,2,1.6094379124341003,116890.28229948433
26,630,0.0,12513,4,4,1920,2007,0.0,0.0,0.0,715.0,715.0,1281,457,0,1738,0.0,0.0,2,0,4,1,7,1,1.0,368.0,55,0,0,0,0,0,0,6,2009,2453.0,2.0,0.0008153281695882593,0.0016306563391765185,4,NAmes,16,5,0,0,0,0,1,0,1,1,1,0,1,1,0,R,0,1,0,0,0,0,0.0,0.0,0.0,0,0,0,0,1,0,1,0,1,0,0,1920,1,1,0,4,3,4,2,0,2,1.3862943611198906,148012.8077399834
27,2648,50.0,9000,5,6,1880,1991,0.0,0.0,0.0,636.0,636.0,1089,661,0,1750,0.0,0.0,1,0,3,1,8,0,1.0,240.0,0,0,293,0,0,0,0,6,2006,2386.0,1.0,0.00041911148365465214,0.0012573344509639564,4,OldTown,24,6,0,0,0,0,0,1,3,1,0,1,1,1,0,R,0,1,0,0,0,0,0.0,0.0,0.0,0,0,0,0,1,0,1,1,1,0,0,1880,0,0,1880,2,3,0,1,0,5,1.6094379124341003,155982.11984586625
28,125,80.0,8800,6,7,1963,1963,156.0,763.0,0.0,173.0,936.0,1054,0,0,1054,1.0,0.0,1,0,3,1,6,0,2.0,480.0,120,0,0,0,0,0,0,5,2010,1990.0,2.0,0.0010050251256281408,0.001507537688442211,4,NAmes,16,5,0,0,0,0,1,0,1,1,1,0,1,1,0,R,0,1,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,1,1,1,0,0,1963,0,0,1963,4,2,0,2,0,4,1.791759469228055,142919.86210519497
29,1904,51.0,3500,3,5,1945,1950,0.0,144.0,0.0,226.0,370.0,442,228,0,670,1.0,0.0,1,0,2,1,4,0,0.0,0.0,0,21,0,0,0,0,2000,7,2007,1040.0,2.0,0.0019230769230769232,0.0019230769230769232,4,BrkSide,23,5,0,0,0,0,1,0,1,0,0,0,1,1,0,R,0,1,0,0,0,0,0.0,0.0,0.0,0,0,0,0,1,0,1,1,1,0,0,1945,0,0,1945,2,2,0,0,0,3,1.0986122886681098,62616.92718317
30,1670,0.0,7340,4,6,1971,1971,0.0,322.0,0.0,536.0,858.0,858,0,0,858,0.0,0.0,1,0,2,1,4,0,1.0,684.0,0,0,0,0,0,0,0,6,2007,1716.0,1.0,0.0005827505827505828,0.0011655011655011655,4,NAmes,16,5,0,0,0,0,1,0,1,1,1,0,1,1,0,R,0,1,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,1,1,1,0,0,1971,0,0,1971,2,2,0,2,0,2,1.3862943611198906,104577.40478563654
31,756,52.0,6240,4,5,1925,1950,0.0,152.0,0.0,628.0,780.0,848,0,360,1208,0.0,0.0,1,0,2,1,5,0,2.0,539.0,0,23,112,0,0,0,0,1,2009,1628.0,1.0,0.0006142506142506142,0.0012285012285012285,4,IDOTRR,26,6,0,0,0,0,0,1,3,1,1,0,1,1,0,R,0,1,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,1,1,1,0,0,1925,0,0,1925,2,2,0,2,0,2,1.3862943611198906,90220.679802112
32,717,65.0,11700,7,7,1880,2003,0.0,0.0,0.0,1240.0,1240.0,1320,1320,0,2640,0.0,0.0,1,1,4,1,8,1,4.0,864.0,181,0,386,0,0,0,0,5,2009,3880.0,2.0,0.0005154639175257732,0.0010309278350515464,4,OldTown,24,6,0,0,0,0,0,1,3,0,0,0,1,1,0,R,0,1,0,0,0,0,0.0,0.0,0.0,0,0,0,0,1,0,1,0,1,0,0,1880,1,1,0,2,3,4,2,0,4,1.9459101490553132,229086.65718013392
33,1032,80.0,10000,5,6,1973,2000,0.0,1084.0,0.0,92.0,1176.0,1178,0,0,1178,0.0,1.0,1,1,3,1,5,1,2.0,439.0,224,0,0,0,0,0,0,11,2008,2354.0,3.0,0.001274426508071368,0.001274426508071368,4,NWAmes,11,3,0,0,1,0,0,0,1,1,1,0,1,1,0,R,0,1,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,1,1,1,0,0,1973,0,0,1973,2,2,3,2,0,4,1.6094379124341003,154600.1193773299
34,852,75.0,11166,7,5,2001,2001,180.0,24.0,0.0,1468.0,1492.0,1492,0,0,1492,0.0,0.0,2,0,3,1,6,1,2.0,608.0,0,114,0,0,168,0,0,7,2009,2984.0,2.0,0.0006702412868632708,0.0010053619302949062,4,CollgCr,9,3,0,0,1,0,0,0,1,1,1,0,1,1,0,R,0,1,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,1,1,1,1,1,0,1,1,0,2,2,2,2,0,4,1.9459101490553132,205728.03495608893
35,1731,58.0,13204,7,5,2006,2007,44.0,0.0,0.0,608.0,608.0,608,850,0,1458,0.0,0.0,2,0,3,1,6,0,2.0,454.0,100,33,0,0,0,0,0,5,2007,2066.0,2.0,0.000968054211035818,0.001452081316553727,0,Gilbert,12,3,0,0,1,0,0,0,1,1,1,0,1,1,0,R,0,1,0,0,0,0,0.0,0.0,0.0,0,0,1,0,1,0,1,1,1,1,0,2006,1,1,0,2,2,0,2,0,4,1.9459101490553132,185868.67474244267
36,2639,60.0,5520,4,6,1920,1980,0.0,284.0,0.0,863.0,1147.0,1147,510,0,1657,0.0,0.0,1,0,4,1,9,1,1.0,162.0,0,0,0,0,0,0,0,7,2006,2804.0,1.0,0.0003566333808844508,0.0014265335235378032,4,OldTown,24,6,0,0,0,0,0,1,3,0,0,0,1,1,0,R,0,1,0,0,0,0,0.0,0.0,0.0,0,0,0,0,1,0,1,1,1,0,0,1920,0,0,1920,2,3,2,3,0,3,1.3862943611198906,107996.42208949004
37,2071,0.0,9000,4,7,1945,1950,0.0,0.0,0.0,0.0,0.0,998,0,0,998,0.0,0.0,1,0,3,1,5,0,2.0,460.0,0,0,140,0,0,0,0,5,2007,998.0,1.0,0.001002004008016032,0.003006012024048096,4,Sawyer,19,5,0,0,0,0,1,0,1,0,1,0,1,0,0,R,0,1,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,1,1,1,0,0,1945,0,0,1945,2,0,0,2,0,2,1.3862943611198906,88274.22925167171
38,1267,74.0,8892,5,7,1953,1996,0.0,0.0,0.0,105.0,105.0,910,0,0,910,0.0,0.0,1,0,3,1,5,0,2.0,414.0,196,0,150,0,0,0,0,10,2008,1015.0,1.0,0.0009852216748768472,0.002955665024630542,4,NAmes,16,5,0,0,0,0,1,0,1,1,1,0,1,1,0,R,0,1,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,1,1,1,0,0,1953,0,0,1953,2,2,0,2,0,4,1.6094379124341003,98182.92713229192
39,1851,73.0,7321,7,5,1999,2000,0.0,0.0,0.0,1339.0,1339.0,1358,0,0,1358,0.0,0.0,2,0,3,1,5,0,2.0,625.0,176,174,0,0,0,0,0,12,2007,2697.0,2.0,0.0007415647015202076,0.0011123470522803114,5,Somerst,6,2,0,1,0,0,0,0,0,1,1,0,1,1,0,R,0,1,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,1,1,1,0,0,1999,0,0,1999,2,2,0,2,0,4,1.9459101490553132,198720.15187022384
40,567,40.0,3951,6,5,2009,2009,76.0,0.0,0.0,612.0,612.0,612,612,0,1224,0.0,0.0,2,1,2,1,4,0,2.0,528.0,0,234,0,0,0,0,0,6,2009,1836.0,3.0,0.0016339869281045752,0.0010893246187363835,0,Somerst,6,2,0,1,0,0,0,0,0,1,1,0,1,1,0,R,0,1,0,0,0,0,0.0,0.0,0.0,0,0,1,0,1,0,1,1,1,1,0,2009,1,1,0,2,2,0,2,0,4,1.791759469228055,183735.24109853036
41,2439,0.0,11214,7,5,1998,1999,0.0,0.0,0.0,930.0,930.0,956,930,0,1886,0.0,0.0,2,1,4,1,10,1,2.0,431.0,89,0,0,0,0,0,0,7,2006,2816.0,3.0,0.001065340909090909,0.0014204545454545455,4,Gilbert,12,3,0,0,1,0,0,0,1,1,1,0,1,1,0,R,0,1,0,0,0,0,0.0,0.0,0.0,0,0,0,0,1,0,1,1,1,0,1,0,0,0,1998,2,2,2,2,0,4,1.9459101490553132,200112.94885751643
42,1898,75.0,7388,5,6,1959,2002,0.0,405.0,0.0,658.0,1063.0,1327,0,0,1327,1.0,0.0,1,0,3,1,7,0,2.0,624.0,0,0,0,0,0,0,0,7,2007,2390.0,2.0,0.0008368200836820083,0.0012552301255230125,4,NAmes,16,5,0,0,0,0,1,0,1,1,1,0,1,1,0,R,0,1,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,1,1,1,0,0,1959,1,1,0,2,2,0,2,0,4,1.6094379124341003,158735.5303804
43,647,75.0,14559,5,7,1951,2000,70.0,650.0,180.0,178.0,1008.0,1363,0,0,1363,1.0,0.0,1,0,2,1,6,2,1.0,288.0,324,42,0,0,168,0,2000,6,2009,2371.0,2.0,0.0008435259384226065,0.0008435259384226065,4,NAmes,16,5,0,0,0,0,1,0,1,1,1,0,1,0,0,R,0,1,0,0,0,0,0.0,0.0,0.0,0,0,0,1,0,0,1,1,1,0,0,1951,0,0,1951,2,2,2,2,0,2,1.6094379124341003,135272.72300819328
44,2256,46.0,4054,7,6,1987,1987,352.0,949.0,0.0,552.0,1501.0,1501,0,0,1501,1.0,0.0,2,0,2,1,5,2,2.0,512.0,240,0,0,0,0,0,0,10,2007,3002.0,3.0,0.000999333777481679,0.0006662225183211193,4,Timber,5,2,0,1,0,0,0,0,1,1,1,0,1,1,0,R,0,1,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,1,1,1,0,0,1987,0,0,1987,2,2,2,2,0,4,1.9459101490553132,221142.26073285026
45,979,21.0,1533,4,6,1970,2008,0.0,0.0,0.0,546.0,546.0,798,546,0,1344,0.0,0.0,1,1,3,1,6,1,0.0,0.0,0,0,0,0,0,0,0,5,2009,1890.0,2.0,0.0010582010582010583,0.0015873015873015873,4,MeadowV,27,6,0,0,0,0,0,1,3,1,1,0,1,1,0,R,0,1,0,0,0,0,0.0,0.0,0.0,0,0,0,0,1,0,1,1,1,0,0,1970,1,1,0,2,2,2,0,0,2,1.3862943611198906,97884.26375351065
46,1444,68.0,11250,7,5,2001,2002,162.0,486.0,0.0,434.0,920.0,920,866,0,1786,1.0,0.0,2,1,3,1,6,1,2.0,608.0,0,42,0,0,0,0,0,9,2008,2706.0,4.0,0.0014781966001478197,0.0011086474501108647,4,CollgCr,9,3,0,0,1,0,0,0,1,1,1,0,1,1,0,R,0,1,0,0,0,0,0.0,0.0,0.0,0,0,0,0,1,0,1,1,1,1,0,2001,1,1,0,2,2,2,2,0,4,1.9459101490553132,216598.08748083928
47,2485,60.0,7800,5,5,1965,1965,0.0,641.0,0.0,187.0,828.0,965,0,0,965,1.0,0.0,1,0,3,1,6,0,1.0,300.0,421,0,0,0,0,0,0,7,2006,1793.0,2.0,0.0011154489682097045,0.0016731734523145567,4,SawyerW,14,3,0,0,1,0,0,0,2,1,1,0,1,1,0,R,0,1,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,1,1,1,0,0,1965,0,0,1965,2,2,0,2,0,2,1.6094379124341003,127313.2287286619
48,157,74.0,5868,5,7,1956,2000,0.0,248.0,240.0,448.0,936.0,936,0,0,936,1.0,0.0,1,0,2,1,4,0,1.0,308.0,0,0,80,0,160,0,0,5,2010,1872.0,2.0,0.0010683760683760685,0.0010683760683760685,4,NAmes,16,5,0,0,0,0,1,0,1,1,1,0,1,1,0,R,0,1,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,1,1,1,0,0,1956,0,0,1956,2,2,0,2,0,2,1.6094379124341003,114858.61608936358
49,88,75.0,7500,5,5,1963,1963,0.0,824.0,0.0,216.0,1040.0,1040,0,0,1040,1.0,0.0,1,1,3,1,5,0,1.0,308.0,0,0,220,0,0,0,0,6,2010,2080.0,3.0,0.0014423076923076924,0.0014423076923076924,4,Sawyer,19,5,0,0,0,0,1,0,1,1,1,0,1,1,0,R,0,1,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1963,2,2,0,2,0,2,1.6094379124341003,129129.56778852962
