,id,lot_frontage,lot_area,overall_qual,overall_cond,year_built,year_remod/add,mas_vnr_area,bsmtfin_sf_1,bsmtfin_sf_2,bsmt_unf_sf,total_bsmt_sf,1st_flr_sf,2nd_flr_sf,low_qual_fin_sf,gr_liv_area,bsmt_full_bath,bsmt_half_bath,full_bath,half_bath,bedroom_abvgr,kitchen_abvgr,totrms_abvgrd,fireplaces,garage_cars,garage_area,wood_deck_sf,open_porch_sf,enclosed_porch,3ssn_porch,screen_porch,pool_area,misc_val,mo_sold,yr_sold,sale_price,total_sf,total_bth,total_bth/sf,total_bed/sf,sale_code,neighborhood,nbhd_rank,nbhd_rank_idx,nbhd_rank_idx_1,nbhd_rank_idx_2,nbhd_rank_idx_3,nbhd_rank_idx_4,nbhd_rank_idx_5,nbhd_rank_idx_6,zone_code,A/C_Y,pvddrv_Y,ex_kitch,is_flat,func_typ,ex_ext,zoning,zne_C (all),zne_I (all),zne_R,cond1_A,cond1_N,cond2_A,cond2_N,PosA,PosN,pos_a/n,has_pool,good_pool,sale_high,good_roof,2story,feats,good_bsmt,good_fire,good_grg,is_new,is_new_1,old_val,is_new_rem,is_new_rem_1,old_rem,ext_code,bsmt_code,fire_code,grg_code,pool_code,ktch_code,log_qual
11,2752,64.0,7488,7,5,2005,2005,0.0,393.0,0.0,815.0,1208.0,1208,0,0,1208,0.0,0.0,2,0,2,1,6,0,2.0,632.0,105,58,0,0,0,0,0,2,2006,183600,2416.0,2.0,0.0008278145695364238,0.0008278145695364238,4,CollgCr,9,3,0,0,1,0,0,0,1,1,1,0,1,1,0,R,0,0,1,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,1,1,1,1,1,0,1,1,0,2,2,0,2,0,4,1.9459101490553132
12,807,120.0,26400,5,7,1880,2007,0.0,0.0,0.0,0.0,0.0,1288,728,0,2016,0.0,0.0,1,0,4,1,7,1,2.0,576.0,0,0,0,0,0,0,0,6,2009,131000,2016.0,1.0,0.000496031746031746,0.001984126984126984,4,SawyerW,14,3,0,0,1,0,0,0,1,1,0,0,0,0,0,R,0,0,1,0,0,0,0,0.0,0.0,0.0,0,0,0,0,1,0,1,1,1,0,0,1880,1,1,0,2,0,2,2,0,2,1.6094379124341003
13,1177,24.0,2645,8,5,1999,2000,456.0,813.0,0.0,147.0,960.0,962,645,0,1607,1.0,0.0,2,1,3,1,7,0,2.0,480.0,169,0,0,0,0,0,0,12,2008,200000,2567.0,4.0,0.0015582391897156214,0.001168679392286716,6,Somerst,6,2,0,1,0,0,0,0,0,1,1,0,1,1,0,R,0,0,1,0,0,0,0,0.0,0.0,0.0,0,0,0,0,1,0,1,1,1,0,0,1999,0,0,1999,2,2,0,2,0,4,2.0794415416798357
14,1480,74.0,9627,7,5,2007,2007,0.0,24.0,0.0,1327.0,1351.0,1361,0,0,1361,0.0,0.0,2,0,3,1,6,0,2.0,610.0,0,50,0,0,0,0,0,6,2008,193000,2712.0,2.0,0.0007374631268436578,0.0011061946902654867,4,CollgCr,9,3,0,0,1,0,0,0,1,1,1,0,1,1,0,R,0,0,1,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,1,1,1,1,1,0,1,1,0,2,2,0,2,0,4,1.9459101490553132
15,324,93.0,10114,5,5,2004,2005,0.0,0.0,0.0,1430.0,1430.0,1430,0,0,1430,0.0,0.0,2,0,3,1,7,0,2.0,624.0,0,0,0,0,0,0,0,3,2010,173500,2860.0,2.0,0.0006993006993006993,0.001048951048951049,4,Mitchel,15,4,0,0,0,1,0,0,1,1,1,0,1,1,0,R,0,0,1,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,1,1,1,1,1,0,1,1,0,2,2,0,2,0,4,1.6094379124341003
16,1311,34.0,4571,5,5,1916,1950,0.0,0.0,0.0,624.0,624.0,624,720,0,1344,0.0,0.0,1,0,4,1,7,0,3.0,513.0,0,0,96,0,0,0,0,5,2008,98000,1968.0,1.0,0.0005081300813008131,0.0020325203252032522,5,OldTown,24,6,0,0,0,0,0,1,3,0,1,0,1,1,0,R,0,0,1,0,0,0,0,0.0,0.0,0.0,0,0,0,0,1,0,1,1,1,0,0,1916,0,0,1916,2,2,0,3,0,2,1.6094379124341003
17,770,80.0,8816,5,6,1963,1963,0.0,651.0,0.0,470.0,1121.0,1121,0,0,1121,1.0,0.0,1,0,3,1,5,0,2.0,480.0,0,80,0,0,0,0,0,6,2009,139000,2242.0,2.0,0.0008920606601248885,0.0013380909901873326,4,Sawyer,19,5,0,0,0,0,1,0,1,1,1,0,1,1,0,R,0,0,1,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,1,1,1,0,0,1963,0,0,1963,2,2,0,2,0,2,1.6094379124341003
18,2063,71.0,8197,6,5,1977,1977,148.0,0.0,0.0,660.0,660.0,1285,0,0,1285,0.0,0.0,1,1,3,1,7,1,2.0,528.0,138,0,0,0,0,0,0,4,2007,143500,1945.0,2.0,0.0010282776349614395,0.0015424164524421595,4,Sawyer,19,5,0,0,0,0,1,0,1,1,1,0,1,1,0,R,0,0,1,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,1,1,1,0,0,1977,0,0,1977,2,2,2,2,0,2,1.791759469228055
19,69,72.0,8640,7,5,2009,2009,0.0,24.0,0.0,732.0,756.0,764,783,0,1547,0.0,0.0,2,1,3,1,7,0,2.0,614.0,169,45,0,0,0,0,0,6,2010,215200,2303.0,3.0,0.0013026487190620929,0.0013026487190620929,1,Somerst,6,2,0,1,0,0,0,0,0,1,1,0,1,1,0,R,0,0,1,0,0,0,0,0.0,0.0,0.0,0,0,1,0,1,0,1,1,1,1,1,0,1,1,0,2,2,0,2,0,4,1.9459101490553132
20,2062,109.0,8724,5,5,1968,1968,0.0,492.0,0.0,402.0,894.0,894,0,0,894,0.0,0.0,1,0,3,1,5,1,2.0,450.0,0,0,0,0,0,0,0,5,2007,129000,1788.0,1.0,0.0005592841163310962,0.0016778523489932886,4,Sawyer,19,5,0,0,0,0,1,0,1,1,1,0,1,1,0,R,0,0,1,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,1,1,1,0,0,1968,0,0,1968,2,2,1,2,0,2,1.6094379124341003
21,351,40.0,5664,8,5,2000,2000,0.0,1158.0,0.0,343.0,1501.0,1659,0,0,1659,1.0,0.0,2,0,2,1,5,1,2.0,499.0,212,59,0,0,0,0,0,10,2009,278000,3160.0,3.0,0.0009493670886075949,0.0006329113924050633,4,StoneBr,0,1,1,0,0,0,0,0,1,1,1,1,1,1,0,R,0,0,1,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,0,2000,0,0,2000,2,2,5,2,0,5,2.0794415416798357
22,2393,103.0,12867,8,5,2005,2006,0.0,0.0,0.0,1209.0,1209.0,1209,1044,0,2253,0.0,0.0,2,1,3,1,8,1,2.0,575.0,243,142,0,0,0,0,0,7,2006,344133,3462.0,3.0,0.0008665511265164644,0.0008665511265164644,0,NridgHt,1,1,1,0,0,0,0,0,1,1,1,1,1,1,0,R,0,0,1,0,0,0,0,0.0,0.0,0.0,0,0,1,0,1,0,1,0,1,1,1,0,1,1,0,2,2,4,2,0,5,2.0794415416798357
23,12,0.0,7980,6,7,1992,2007,0.0,935.0,0.0,233.0,1168.0,1187,0,0,1187,1.0,0.0,2,0,3,1,6,0,2.0,420.0,483,21,0,0,0,0,500,3,2010,185000,2355.0,3.0,0.0012738853503184713,0.0012738853503184713,4,Gilbert,12,3,0,0,1,0,0,0,1,1,1,0,1,1,0,R,0,0,1,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,1,1,1,0,0,1992,1,1,0,4,2,0,2,0,2,1.791759469228055
24,2339,100.0,34650,5,5,1955,1955,0.0,1056.0,0.0,0.0,1056.0,1056,0,0,1056,1.0,0.0,1,0,3,1,5,0,2.0,572.0,264,0,0,0,0,0,0,1,2006,145000,2112.0,2.0,0.000946969696969697,0.0014204545454545455,4,Gilbert,12,3,0,0,1,0,0,0,1,0,1,0,0,1,0,R,0,0,1,0,0,0,0,0.0,0.0,0.0,0,0,0,1,0,0,1,1,1,0,0,1955,0,0,1955,2,2,0,2,0,2,1.6094379124341003
25,624,92.0,10573,6,6,1961,1961,3.0,1312.0,0.0,141.0,1453.0,1453,0,0,1453,1.0,0.0,2,0,3,1,6,1,2.0,530.0,0,49,0,0,288,0,0,4,2009,187500,2906.0,3.0,0.0010323468685478321,0.0010323468685478321,4,NAmes,16,5,0,0,0,0,1,0,1,1,1,0,1,1,0,R,0,0,1,0,0,0,0,0.0,0.0,0.0,0,0,0,1,0,0,1,1,1,0,0,1961,0,0,1961,2,2,2,2,0,2,1.791759469228055
26,86,65.0,8450,5,8,1965,2009,0.0,553.0,117.0,224.0,894.0,894,0,0,894,1.0,0.0,1,0,3,1,5,1,1.0,336.0,416,144,0,0,0,0,0,4,2010,138500,1788.0,2.0,0.0011185682326621924,0.0016778523489932886,4,Sawyer,19,5,0,0,0,0,1,0,1,1,1,0,1,1,0,R,0,0,1,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,0,1965,1,1,0,4,2,4,2,0,2,1.6094379124341003
27,1534,0.0,11700,5,6,1937,1995,0.0,606.0,0.0,336.0,942.0,1265,673,0,1938,0.0,0.0,2,0,4,1,7,1,1.0,240.0,0,40,0,0,0,0,0,7,2008,198000,2880.0,2.0,0.0006944444444444445,0.001388888888888889,4,Crawfor,8,3,0,0,1,0,0,0,1,1,1,0,0,0,0,R,0,0,1,0,0,0,0,0.0,0.0,0.0,0,0,0,0,1,0,1,0,1,0,0,1937,0,0,1937,2,2,4,2,0,4,1.6094379124341003
28,2243,75.0,8250,5,6,1895,2006,0.0,0.0,0.0,957.0,957.0,1034,957,0,1991,0.0,0.0,2,0,4,2,9,0,0.0,0.0,0,0,133,0,0,0,0,6,2007,119600,2948.0,2.0,0.0006784260515603799,0.0013568521031207597,4,IDOTRR,26,6,0,0,0,0,0,1,4,0,0,0,1,1,0,C (all),1,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,1,0,1,1,1,0,0,1895,1,1,0,4,2,0,0,0,2,1.6094379124341003
29,1957,60.0,8064,5,7,1949,2006,0.0,0.0,0.0,672.0,672.0,672,252,0,924,0.0,0.0,1,0,3,1,6,1,2.0,576.0,0,0,0,0,0,0,2000,7,2007,122900,1596.0,1.0,0.0006265664160401002,0.0018796992481203006,4,NAmes,16,5,0,0,0,0,1,0,1,1,1,0,1,1,0,R,0,0,1,0,0,0,0,0.0,0.0,0.0,0,0,0,0,1,0,1,1,1,0,0,1949,1,1,0,4,2,1,2,0,2,1.6094379124341003
30,380,80.0,9600,8,5,1981,1981,0.0,1104.0,0.0,1420.0,2524.0,2524,0,0,2524,1.0,0.0,2,1,4,1,9,1,2.0,542.0,474,120,0,0,0,0,0,7,2009,278000,5048.0,4.0,0.000792393026941363,0.000792393026941363,4,NWAmes,11,3,0,0,1,0,0,0,1,1,1,0,1,1,0,R,0,0,1,0,1,0,0,0.0,0.0,0.0,0,0,0,1,0,0,1,0,1,0,0,1981,0,0,1981,2,2,4,2,0,4,2.0794415416798357
31,2860,0.0,11435,8,7,1929,1950,0.0,0.0,0.0,792.0,792.0,792,725,0,1517,0.0,0.0,1,0,3,1,7,2,2.0,400.0,0,0,0,0,0,0,0,6,2006,230000,2309.0,1.0,0.00043308791684711995,0.00129926375054136,4,Crawfor,8,3,0,0,1,0,0,0,1,1,1,0,0,1,0,R,0,0,1,0,0,0,0,0.0,0.0,0.0,0,0,0,0,1,0,1,0,1,0,0,1929,0,0,1929,2,2,4,2,0,4,2.0794415416798357
32,2517,30.0,9549,8,5,1995,1996,0.0,437.0,1057.0,0.0,1494.0,1494,0,0,1494,1.0,0.0,1,1,2,1,6,1,2.0,481.0,0,30,0,0,216,0,0,4,2006,270000,2988.0,3.0,0.001004016064257028,0.0006693440428380187,4,Veenker,4,2,0,1,0,0,0,0,1,1,1,1,1,1,0,R,0,0,1,0,0,0,0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,1,0,0,1995,0,0,1995,4,4,4,2,0,5,2.0794415416798357
33,1933,60.0,10950,6,6,1952,1952,0.0,441.0,0.0,507.0,948.0,948,0,0,948,0.0,0.0,1,0,2,1,5,0,2.0,410.0,0,48,0,0,0,0,0,4,2007,125000,1896.0,1.0,0.0005274261603375527,0.0010548523206751054,4,NAmes,16,5,0,0,0,0,1,0,1,1,0,0,1,1,0,R,0,0,1,0,0,0,0,0.0,0.0,0.0,0,0,0,1,0,0,1,1,1,0,0,1952,0,0,1952,2,2,0,2,0,2,1.791759469228055
34,820,79.0,10637,8,5,2007,2008,336.0,1288.0,0.0,417.0,1705.0,1718,0,0,1718,1.0,0.0,2,0,3,1,7,1,3.0,826.0,208,44,0,0,0,0,0,9,2009,297000,3423.0,3.0,0.0008764241893076249,0.0008764241893076249,4,CollgCr,9,3,0,0,1,0,0,0,1,1,1,0,1,1,0,R,0,0,1,0,0,0,0,0.0,0.0,0.0,0,0,0,1,0,0,1,0,1,1,1,0,1,1,0,2,2,4,2,0,4,2.0794415416798357
35,675,80.0,9000,6,6,1958,1958,82.0,0.0,0.0,160.0,160.0,1142,0,0,1142,0.0,0.0,1,0,2,1,5,1,1.0,384.0,0,28,64,0,0,0,0,4,2009,113500,1302.0,1.0,0.0007680491551459293,0.0015360983102918587,4,NAmes,16,5,0,0,0,0,1,0,1,1,1,0,0,1,0,R,0,0,1,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,0,1958,0,0,1958,2,2,4,2,0,2,1.791759469228055
36,2910,41.0,2665,5,6,1977,1977,0.0,548.0,173.0,36.0,757.0,925,550,0,1475,0.0,0.0,2,0,4,1,6,1,1.0,336.0,104,26,0,0,0,0,0,7,2006,127000,2232.0,2.0,0.0008960573476702509,0.0017921146953405018,4,MeadowV,27,6,0,0,0,0,0,1,3,1,1,0,1,1,0,R,0,0,1,0,0,0,0,0.0,0.0,0.0,0,0,0,0,1,0,1,1,1,0,0,1977,0,0,1977,2,2,2,2,0,2,1.6094379124341003
37,21,105.0,11751,6,6,1977,1977,480.0,705.0,0.0,1139.0,1844.0,1844,0,0,1844,0.0,0.0,2,0,3,1,7,1,2.0,546.0,0,122,0,0,0,0,0,1,2010,190000,3688.0,2.0,0.0005422993492407809,0.0008134490238611713,5,NWAmes,11,3,0,0,1,0,0,0,1,1,1,0,1,1,0,R,0,0,1,0,0,0,0,0.0,0.0,0.0,0,0,0,1,0,0,1,1,1,0,0,1977,0,0,1977,2,2,2,2,0,2,1.791759469228055
38,1873,80.0,9600,7,6,1973,1973,320.0,916.0,0.0,326.0,1242.0,1242,0,0,1242,0.0,0.0,1,1,3,1,6,1,2.0,528.0,0,0,0,0,0,0,0,9,2007,175500,2484.0,2.0,0.0008051529790660225,0.0012077294685990338,4,NWAmes,11,3,0,0,1,0,0,0,1,1,1,0,1,1,0,R,0,0,1,0,0,0,0,0.0,0.0,0.0,0,0,0,1,0,0,1,1,1,0,0,1973,0,0,1973,2,2,2,2,0,2,1.9459101490553132
39,2125,60.0,8428,5,7,1994,1994,0.0,420.0,0.0,570.0,990.0,990,0,0,990,1.0,0.0,1,0,3,1,5,0,1.0,384.0,256,0,0,0,0,0,0,7,2007,146000,1980.0,2.0,0.00101010101010101,0.0015151515151515152,4,CollgCr,9,3,0,0,1,0,0,0,1,1,1,0,1,1,0,R,0,0,1,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,1,0,0,1994,0,0,1994,4,4,0,2,0,2,1.6094379124341003
40,1489,75.0,9937,5,6,1965,1965,0.0,830.0,290.0,136.0,1256.0,1256,0,0,1256,1.0,0.0,1,1,3,1,6,0,1.0,276.0,736,68,0,0,0,0,0,6,2008,147500,2512.0,3.0,0.0011942675159235668,0.0011942675159235668,4,Edwards,22,5,0,0,0,0,1,0,1,1,1,0,1,1,0,R,0,0,1,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,1,1,1,0,0,1965,0,0,1965,2,2,0,2,0,2,1.6094379124341003
41,2383,107.0,13891,10,5,2006,2006,0.0,1386.0,0.0,690.0,2076.0,2076,0,0,2076,1.0,0.0,2,1,2,1,7,1,3.0,850.0,216,229,0,0,0,0,0,9,2006,465000,4152.0,4.0,0.0009633911368015414,0.0004816955684007707,0,NridgHt,1,1,1,0,0,0,0,0,1,1,1,1,1,1,0,R,0,0,1,0,0,0,0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,1,1,1,0,1,1,0,2,4,4,2,0,5,2.302585092994046
42,983,0.0,9101,5,6,1978,1978,104.0,1097.0,0.0,0.0,1097.0,1110,0,0,1110,1.0,0.0,1,0,1,1,4,1,2.0,602.0,303,30,0,0,0,0,0,7,2009,165500,2207.0,2.0,0.0009062075215224287,0.00045310376076121433,4,Mitchel,15,4,0,0,0,1,0,0,1,1,1,0,1,1,0,R,0,0,1,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,1,1,1,0,0,1978,0,0,1978,4,2,2,2,0,4,1.6094379124341003
43,1325,81.0,12150,5,5,1954,1954,335.0,0.0,0.0,1050.0,1050.0,1050,745,0,1795,0.0,0.0,2,0,4,1,7,0,1.0,352.0,0,0,0,0,0,0,0,11,2008,131500,2845.0,2.0,0.00070298769771529,0.00140597539543058,4,OldTown,24,6,0,0,0,0,0,1,3,0,1,0,1,1,0,R,0,0,1,0,0,0,0,0.0,0.0,0.0,0,0,0,0,1,0,1,1,1,0,0,1954,0,0,1954,2,2,0,2,0,2,1.6094379124341003
44,1378,70.0,11200,5,5,1965,1965,0.0,906.0,0.0,134.0,1040.0,1040,0,0,1040,1.0,0.0,1,0,3,1,5,0,1.0,384.0,0,0,0,0,0,0,0,2,2008,129500,2080.0,2.0,0.0009615384615384616,0.0014423076923076924,4,Sawyer,19,5,0,0,0,0,1,0,1,1,1,0,1,1,0,R,0,0,1,0,0,0,0,0.0,0.0,0.0,0,0,0,1,0,0,1,1,1,0,0,1965,0,0,1965,2,2,0,2,0,2,1.6094379124341003
45,1537,100.0,9670,8,6,1935,1950,40.0,210.0,0.0,398.0,608.0,983,890,0,1873,0.0,0.0,1,1,4,1,9,2,2.0,786.0,0,0,207,0,0,0,0,6,2008,257076,2481.0,2.0,0.0008061265618702137,0.0016122531237404273,4,Crawfor,8,3,0,0,1,0,0,0,1,1,1,0,0,1,0,R,0,0,1,0,0,0,0,0.0,0.0,0.0,0,0,0,0,1,0,1,0,1,0,0,1935,0,0,1935,2,3,4,2,0,2,2.0794415416798357
46,905,60.0,10998,5,5,1941,1960,0.0,408.0,420.0,156.0,984.0,984,620,0,1604,0.0,0.0,2,0,3,1,6,0,2.0,660.0,0,68,0,0,0,0,0,7,2009,117000,2588.0,2.0,0.0007727975270479134,0.00115919629057187,4,Edwards,22,5,0,0,0,0,1,0,1,1,1,0,1,0,0,R,0,0,1,0,0,0,0,0.0,0.0,0.0,0,0,0,0,1,0,1,1,1,0,0,1941,0,0,1941,2,2,0,2,0,2,1.6094379124341003
47,1532,60.0,7200,7,6,1931,2000,0.0,0.0,0.0,776.0,776.0,851,651,0,1502,0.0,0.0,1,1,3,1,6,1,1.0,270.0,0,0,112,0,0,0,0,2,2008,149000,2278.0,2.0,0.000877963125548727,0.0013169446883230904,4,Crawfor,8,3,0,0,1,0,0,0,1,1,0,0,0,1,0,R,0,0,1,0,0,0,0,0.0,0.0,0.0,0,0,0,0,1,0,1,0,1,0,0,1931,0,0,1931,3,2,4,2,0,2,1.9459101490553132
48,132,80.0,9920,5,5,1954,1954,110.0,354.0,290.0,412.0,1056.0,1063,0,0,1063,1.0,0.0,1,0,3,1,6,0,1.0,280.0,0,0,164,0,0,0,0,2,2010,128000,2119.0,2.0,0.0009438414346389807,0.001415762151958471,4,NAmes,16,5,0,0,0,0,1,0,1,1,1,0,1,1,0,R,0,0,1,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,1,1,1,0,0,1954,0,0,1954,2,2,0,2,0,2,1.6094379124341003
49,1078,36.0,2448,7,5,2003,2004,106.0,0.0,0.0,764.0,764.0,764,862,0,1626,0.0,0.0,2,1,2,1,6,0,2.0,474.0,0,27,0,0,0,0,0,10,2008,155000,2390.0,3.0,0.0012552301255230125,0.0008368200836820083,4,NridgHt,1,1,1,0,0,0,0,0,1,1,1,0,1,1,0,R,0,0,1,0,0,0,0,0.0,0.0,0.0,0,0,0,0,1,0,1,1,1,1,1,0,1,1,0,2,2,0,2,0,4,1.9459101490553132
50,2511,0.0,2998,6,5,2000,2000,513.0,353.0,0.0,403.0,756.0,768,756,0,1524,0.0,0.0,2,1,2,1,4,0,2.0,440.0,0,32,0,0,0,0,0,6,2006,166000,2280.0,3.0,0.0013157894736842105,0.0008771929824561404,4,Somerst,6,2,0,1,0,0,0,0,0,1,1,0,1,1,0,R,0,0,1,0,0,0,0,0.0,0.0,0.0,0,0,0,0,1,0,1,1,1,0,0,2000,0,0,2000,2,2,0,2,0,4,1.791759469228055
